Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1709.01"" target='_blank'>Wildlife spatial criteria for Amazonian protected landscape design</a>",Environmental Conservation,169896,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8678"" target='_blank'>
Protecting the Free-flowing Rivers of the Marañón Basin of Peru</a>",Environmental Conservation,170000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF532.02"" target='_blank'>Capacity Building for Biodiversity Conservation in Brazilian Amazonia</a>",Environmental Conservation,170259,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF429.02"" target='_blank'>Rio Negro Participatory Conservation in Brazil- Supplement</a>",Environmental Conservation,174170,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6315"" target='_blank'>Unlocking Environmental Compensation Funds for Amazonian Protected Areas in Brazil</a>",Environmental Conservation,174198,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF393"" target='_blank'>Center for Native Lands</a>",Environmental Conservation,178000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4268"" target='_blank'>Reducing Ecosystem Impacts of Soy Expansion in Argentina</a>",Environmental Conservation,193500,0,,Argentina,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4258"" target='_blank'>Structuring an Environmental Compensation Fund for the State of Amazonas</a>",Environmental Conservation,193780,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2051"" target='_blank'>Alto Purús Protection Initiative</a>",Environmental Conservation,195988,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3077"" target='_blank'>Forever Costa Rica Marine Conservation</a>",Environmental Conservation,199500,0,,Costa Rica,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1389"" target='_blank'>Satellite-based forest monitoring by local agencies in the Peruvian Andes-Amazon: adaptation and dissemination of a simple tool.</a>",Environmental Conservation,200000,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3566.01"" target='_blank'>Ensuring the Dissemination of CLASlite for Forest Conservation and Monitoring</a>",Environmental Conservation,200000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4282.01"" target='_blank'>Consolidating the Lower Rio Negro Mosaic: Ensuring the Sustainability of Management Programs</a>",Environmental Conservation,200000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6921"" target='_blank'>MapBiomas: Understanding Annual, Medium-resolution Land Use / Land Cover in the Amazon</a>",Environmental Conservation,200000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2051.01"" target='_blank'>Alto Purús Protection Initiative</a>",Environmental Conservation,204012,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3091"" target='_blank'>Forest Governance in Amazonas State, Brazil—Enabling Conditions</a>",Environmental Conservation,206851,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF828"" target='_blank'>Protected Area Monitoring Database</a>",Environmental Conservation,207960,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF467.02"" target='_blank'>Sustaining Biodiversity in Key Protected Areas in the Andes</a>",Environmental Conservation,209872,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4005"" target='_blank'>Assessment of the national climate change policy and forest code to identify opportunities for the Green Municipalities Program.</a>",Environmental Conservation,210000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3552"" target='_blank'>From the bottom-up: Building a participatory socio-environmental agenda for the state of Amazonas, Brazil</a>",Environmental Conservation,216000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2156"" target='_blank'>Implementing REDD between California and Brazilian and Indonesian States</a>",Environmental Conservation,221043,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF647.03"" target='_blank'>Consolidation of Amazonas State Protected Area System</a>",Environmental Conservation,225106,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3087"" target='_blank'>Securing Conservation Gains: Biological Dynamics of Forest Fragments Project of Manaus</a>",Environmental Conservation,225500,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6929"" target='_blank'>Territorial Planning: A Review of Approaches and Options for the Amazon Basin</a>",Environmental Conservation,225500,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8667"" target='_blank'>
Herencia Colombia: Financing Colombia’s Protected Areas</a>",Environmental Conservation,230000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8677"" target='_blank'>
Strengthening Research and Policy Dialogue on Global Change and Infrastructure in the Peruvian Amazon</a>",Environmental Conservation,232000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4365.01"" target='_blank'>Strengthening the Role of Civil Society in Building a post-2016 Soy Moratorium Alternative</a>",Environmental Conservation,235749,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3604"" target='_blank'>Institutional framework for environmental licensing of large-scale infrastructure projects in Peru</a>",Environmental Conservation,251248,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2055"" target='_blank'>Enabling the implementation of REDD projects in Colombia</a>",Environmental Conservation,255232,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF428.01"" target='_blank'>System of Protection of Isolated Indigenous Lands- Supplement</a>",Environmental Conservation,257181,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4278"" target='_blank'>Institutional durability to secure the gains of ARPA and other protected areas in the Brazilian Amazon</a>",Environmental Conservation,260000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3087.01"" target='_blank'>Securing Conservation Gains: Biological Dynamics of Forest Fragments Project of Manaus</a>",Environmental Conservation,274157,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2533"" target='_blank'>Pan-Amazonian Participatory Mapping and Zoning Seminar</a>",Environmental Conservation,278406,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4353"" target='_blank'>Investing in Environmental Stewardship in the Madidi-Tambopata Mosaic</a>",Environmental Conservation,280000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF376"" target='_blank'>Multispectral 3D Aerial Imagery</a>",Environmental Conservation,283549,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5727"" target='_blank'>Strengthen Protected Areas in the Ecuadorian Amazon</a>",Environmental Conservation,284673,0,,Ecuador,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6930"" target='_blank'>Comparative Analysis of Proposed Road Development in the Amazon: A Risk Assessment</a>",Environmental Conservation,290000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6931"" target='_blank'>Greening China’s Infrastructure Finance in the Amazon</a>",Environmental Conservation,295000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3605"" target='_blank'>Incorporation of protected areas and Indigenous lands in regional development plans in the Colombian Amazon</a>",Environmental Conservation,295639,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3564.02"" target='_blank'>Reducing Threats to River Systems in Loreto, Peru</a>",Environmental Conservation,300000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5699"" target='_blank'>Indigenous Voices in Conservation: Diffusing Lessons from the Amazon-Andes to All Intact Forests</a>",Environmental Conservation,300000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7880"" target='_blank'>Developing Local Legal Approaches to Secure the Peruvian Amazon from Infrastructure Threats</a>",Environmental Conservation,300000,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2078.01"" target='_blank'>High-functioning Protected Area Management Councils</a>",Environmental Conservation,308000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3552.01"" target='_blank'>Monitoring the Implementation of Protected Areas and Other Environmental Policies in Amazonas State, Brazil.</a>",Environmental Conservation,320000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF687"" target='_blank'>Harnessing Environmental Markets for Ecosystem Services for Conservation and Sustainable Development Purposes</a>",Environmental Conservation,322783,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2048"" target='_blank'>Co-management of the Yaigoje Apaporis National Park and Indigenous Reserve</a>",Environmental Conservation,325360,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1684"" target='_blank'>Forest Carbon Mapping in Gabon</a>",Environmental Conservation,326360,0,,Gabon,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8669"" target='_blank'>
Outreach for MapaInversiones Platforms</a>",Environmental Conservation,335000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3322"" target='_blank'>Completing ARPA</a>",Environmental Conservation,337044,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3856"" target='_blank'>Planning for a sustainable forest sector in the Brazilian Amazon</a>",Environmental Conservation,341125,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF627"" target='_blank'>Regional System of Natural Protected Areas in Loreto, Peru</a>",Environmental Conservation,342600,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3322.01"" target='_blank'>Completing ARPA Phase II</a>",Environmental Conservation,350000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8668"" target='_blank'>
Herencia Colombia: Financing Colombia’s Protected Areas</a>",Environmental Conservation,357000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8666"" target='_blank'>
Building New Narratives: Infrastructure in the Amazon</a>",Environmental Conservation,358000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8690"" target='_blank'>
Addressing Localized Infrastructure Threats in the Andes-Amazon Region</a>",Environmental Conservation,367000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4270"" target='_blank'>Cerrado Biome Agribusiness and Conservation Trends Assessment</a>",Environmental Conservation,371000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF288.01"" target='_blank'>Gabon Parks Project Extension Exit Strategy</a>",Environmental Conservation,379190,0,,Gabon,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3321.02"" target='_blank'>Effective Protected Area Monitoring and Evaluation for ARPA</a>",Environmental Conservation,385000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8659"" target='_blank'>
Economic Analysis in Loreto, Peru</a>",Environmental Conservation,386497,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF633.02"" target='_blank'>Suriname Indigenous Land Management</a>",Environmental Conservation,396885,0,,Suriname,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3855"" target='_blank'>Super-Mateiros: Capacity and Resources for Forest Inventories in the Brazilian Amazon</a>",Environmental Conservation,400000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4315"" target='_blank'>National Geographic Magazine Amazon-themed Map Supplement</a>",Environmental Conservation,400000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF464.04"" target='_blank'>Consolidating the Calha Norte Mosaic, Brazil</a>",Environmental Conservation,400000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3505"" target='_blank'>Governance for sustainability in the Brazilian cattle sector</a>",Environmental Conservation,400500,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4384"" target='_blank'>Geospatial analyses of the annual crops dynamic in the Brazilian Cerrado biome: 2000 to 2014</a>",Environmental Conservation,400520,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1550.01"" target='_blank'>Consolidation and Dissemination of Results of the Cofan Conservation Program</a>",Environmental Conservation,401700,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1709"" target='_blank'>Defining Science-driven Habitat and Spatial Criteria for Protected Areas in the Amazon</a>",Environmental Conservation,404336,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF67"" target='_blank'>Biodiversity Conservation in the Northeast Amazon: A Biocultural Approach</a>",Environmental Conservation,407100,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4272"" target='_blank'>Long-Term Vision and Roadmap for Mainstreaming Verified Deforestation-Free Beef Production in Brazil</a>",Environmental Conservation,422077,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5347"" target='_blank'>Monitoring of the BR-319 Highway Licensing Process and Mitigation of Potential Social and Environmental Impacts</a>",Environmental Conservation,424000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3089"" target='_blank'>Public policy instruments and barriers for sustainable sourcing of beef in Pará, Brazil</a>",Environmental Conservation,424511,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2172"" target='_blank'>Institutional Strengthening of IPAM</a>",Environmental Conservation,425389,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF647.02"" target='_blank'>Consolidation of Amazonas State Protected Area System</a>",Environmental Conservation,433750,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8685"" target='_blank'>
Protecting Free-Flowing Rivers from Infrastructure Threats in the Andes-Amazon Region: Project 3 of 3</a>",Environmental Conservation,442300,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8676"" target='_blank'>
Consolidation of Upper Purus Mosaic, Peru</a>",Environmental Conservation,450000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3550"" target='_blank'>Enhanced radar-based forest cover monitoring</a>",Environmental Conservation,450016,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1755"" target='_blank'>Amazon Headwaters Initiative</a>",Environmental Conservation,466433,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4031"" target='_blank'>Mapping Shrimp Mariculture Activities and Coastal Habitats in Thailand, Vietnam, and Cambodia</a>",Environmental Conservation,471806,0,,Cambodia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1525.01"" target='_blank'>An Amazon Floodplain Regional Co-Management System for Biodiversity Conservation and Sustainability</a>",Environmental Conservation,471833,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF436.02"" target='_blank'>Adapting conservation strategies in the Peruvian Amazon to a context of governance, decentralization and climate change.</a>",Environmental Conservation,471949,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3917"" target='_blank'>Modeling Scenarios of Agricultural Land Use Change in the Tropical Forest and Savannah Areas of Brazil and Argentina</a>",Environmental Conservation,478249,0,,"Brazil, Argentina",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7866"" target='_blank'>Strengthening Forest and Land Use Monitoring in the Paraguayan Chaco</a>",Environmental Conservation,478250,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4944"" target='_blank'>Consolidation of Upper Purus Mosaic, Peru</a>",Environmental Conservation,480000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3408.01"" target='_blank'>Mainstreaming innovative approaches to protected area management in Brazil—Phase II</a>",Environmental Conservation,490000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3321"" target='_blank'>Completing ARPA</a>",Environmental Conservation,495000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF646.03"" target='_blank'>Consolidation of Amazonas State Protected Area System</a>",Environmental Conservation,498890,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4487"" target='_blank'>Financial Sustainability for Protected Areas in the Northern Bolivian Amazon</a>",Environmental Conservation,499435,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF688.01"" target='_blank'>Long-term sustainability of Ecuador’s Cóndor Kutuku Conservation Corridor</a>",Environmental Conservation,499510,0,,Ecuador,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8661"" target='_blank'>
Scientific Panel for the Amazon</a>",Environmental Conservation,500000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4989"" target='_blank'>Advancing Large-scale Conservation Opportunities in Northern Loreto, Peru</a>",Environmental Conservation,500000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5501"" target='_blank'>Building a Durable Regional Conservation System in Loreto, Peru</a>",Environmental Conservation,500000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5697"" target='_blank'>Financial Sustainability for Protected Areas in the Northern Bolivian Amazon - Phase II</a>",Environmental Conservation,500000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF820"" target='_blank'>Amazon Scenarios II</a>",Environmental Conservation,500000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2549"" target='_blank'>Open Data Kit for Large-Scale Ethno-Environmental Surveying and Monitoring of Amazonian Landscapes</a>",Environmental Conservation,504554,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3557.02"" target='_blank'>Sustainable Finance of Peru's Protected Area System</a>",Environmental Conservation,513000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3322.02"" target='_blank'>Diversifying Sustainable Finance Sources for Brazilian Amazonian Protected Areas</a>",Environmental Conservation,518471,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF524"" target='_blank'>Professional Capacity Building in Tropical Conservation</a>",Environmental Conservation,528000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3614"" target='_blank'>Ten Years of Conservation Lessons from the Amazon</a>",Environmental Conservation,531224,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2029"" target='_blank'>REDD capacity building and consultation in Kenya and neighboring countries.</a>",Environmental Conservation,532406,0,,Kenya,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3504"" target='_blank'>Coordinating for and Leveraging Deforestation-Free Amazon Cattle Supply Chains</a>",Environmental Conservation,532606,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4471"" target='_blank'>Spatial metrics and baselines of degradation patterns and provision of ecosystem services by pastures in Brazil</a>",Environmental Conservation,544500,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8660"" target='_blank'>
Funding Options for Bolivia’s Protected Areas</a>",Environmental Conservation,550000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2054.01"" target='_blank'>Monitoring and modeling of ecological function of Guyana forests</a>",Environmental Conservation,557083,0,,Guyana,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8687"" target='_blank'>
Protecting Free-Flowing Rivers from Infrastructure Threats in the Andes-Amazon Region: Project 2 of 3</a>",Environmental Conservation,557700,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4635.01"" target='_blank'>Securing Sustainable Finance for Peruvian Amazon Protected Areas</a>",Environmental Conservation,560000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8681"" target='_blank'>
Strengthening Protected Areas in the Ecuadorian Amazon</a>",Environmental Conservation,565327,0,,Ecuador,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5697.01"" target='_blank'>Increasing the Durability of Protected Areas in Bolivia</a>",Environmental Conservation,566000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2369"" target='_blank'>Designing ecosystem service products and incentives for private landowners in Brazil</a>",Environmental Conservation,566953,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1432.01"" target='_blank'>Securing conservation gains and long-term sustainability for Parque Nacional Cordillera Azul in Peru</a>",Environmental Conservation,567175,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF911"" target='_blank'>Inter-American Biodiversity Network</a>",Environmental Conservation,569000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8688"" target='_blank'>
Protecting Free-Flowing Rivers from Infrastructure Threats in the Andes-Amazon Region: Project 1 of 3</a>",Environmental Conservation,572200,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8680"" target='_blank'>
Project Providence: Multi-sensor Technology for Visual and Acoustic Biodiversity Monitoring in the Amazon</a>",Environmental Conservation,577750,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1001"" target='_blank'>Conservation Management and Policy Masters Program</a>",Environmental Conservation,589000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
